FECHA,CLAVE_EST,PARAMETRO,INVALIDA,HORA01,HORA02,HORA03,HORA04,HORA05,HORA06,HORA07,HORA08,HORA09,HORA10,HORA11,HORA12,HORA13,HORA14,HORA15,HORA16,HORA17,HORA18,HORA19,HORA20,HORA21,HORA22,HORA23,HORA24
01/01/11,OBL,NOX,,0.290,0.195,0.147,0.141,0.165,0.162,0.084,0.085,0.046,0.019,0.046,0.019,0.019,0.018,0.022,0.019,0.011,0.017,0.024,0.052,0.073,0.069,0.167,0.193
01/01/11,OBL,O3,,0.021,0.020,0.017,0.016,0.018,0.021,0.014,0.013,0.015,0.024,0.056,0.064,0.067,0.098,0.134,0.138,0.123,0.100,0.070,0.026,0.014,0.014,0.014,0.011
01/01/11,OBL,PM10,,386.1,352.7,211.6,170.7,219.7,271.5,135.2,132.6,96.2,38.7,129.6,33.2,19.3,34.3,52.6,51.1,55.2,53.7,62.0,77.8,94.2,55.5,84.8,123.0
01/01/11,OBL,SO2,,0.019,0.017,0.011,0.010,0.010,0.010,0.006,0.005,0.005,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.004,0.005,0.009,0.012
01/01/11,TLA,CO,,4.9,2.7,3.7,4.6,4.5,4.4,5.0,3.6,3.5,1.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.7,1.5
01/01/11,TLA,NO,,0.228,0.160,0.220,0.265,0.254,0.253,0.276,0.181,0.176,0.026,0.004,0.002,0.001,0.003,0.001,0.002,0.003,0.010,0.017,0.025,0.073,0.097,0.153,0.134
01/01/11,TLA,NO2,,0.042,0.034,0.034,0.036,0.035,0.034,0.032,0.030,0.049,0.032,0.015,0.013,0.013,0.017,0.012,0.007,0.008,0.014,0.032,0.040,0.042,0.042,0.039,0.037
01/01/11,TLA,NOX,,0.270,0.193,0.253,0.300,0.287,0.287,0.307,0.211,0.224,0.059,0.019,0.015,0.014,0.019,0.013,0.009,0.012,0.024,0.050,0.065,0.115,0.138,0.192,0.171
01/01/11,TLA,O3,,0.010,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.027,0.056,0.083,0.100,0.107,0.050,0.047,0.040,0.018,0.008,0.003,0.003,0.003,0.003
01/01/11,TLA,PM10,,292.2,206.1,283.4,261.5,229.3,228.5,250.1,239.1,246.5,82.8,22.3,21.0,20.6,28.3,45.6,9.1,8.8,11.8,29.4,39.4,45.0,55.2,90.9,96.7
01/01/11,TLA,SO2,,0.014,0.009,0.010,0.012,0.011,0.010,0.010,0.007,0.007,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.004,0.007,0.006
01/01/11,VAL,CO,,2.8,3.5,3.3,3.4,4.0,3.3,3.3,3.7,4.2,3.5,2.3,1.9,1.8,1.9,1.9,1.6,1.5,1.5,1.6,1.8,1.8,2.4,2.4,2.5
01/01/11,VAL,NO,,0.055,0.088,0.092,0.097,0.139,0.104,0.095,0.124,0.150,0.073,0.015,0.004,0.001,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.001,0.045,0.033,0.041
01/01/11,VAL,NO2,,0.040,0.042,0.040,0.038,0.036,0.035,0.034,0.033,0.048,0.063,0.034,0.021,0.014,0.018,0.019,0.009,0.005,0.006,0.012,0.027,0.025,0.042,0.044,0.041
01/01/11,VAL,NOX,,0.095,0.130,0.133,0.136,0.175,0.140,0.130,0.158,0.199,0.137,0.050,0.024,0.014,0.018,0.019,0.008,0.004,0.006,0.012,0.027,0.024,0.088,0.076,0.083
